nombre,categoria,marca,codigo_barras,precio_venta,precio_costo,stock,stock_minimo
Br x 10 100 ml,Triton,Triton,4260414720208,1240.0,950.0,0,0
Fe Iron 100 ml,Triton,Triton,4260414720178,840.0,650.0,0,0
V Vanadium 100 ml,Triton,Triton,4260414720154,840.0,650.0,0,0
Sr x10 Stronium 100ml,Triton,Triton,4260414720888,1180.0,900.0,0,0
Detox Metal Remover 100 ml,Triton,Triton,4260414720147,1200.0,900.0,0,0
Cichlid Food,General,,4001942003926,300.0,300.0,0,0
AF Protect Dip,General,,,290.0,290.0,0,0
"DeepSee 5/8"" 16mm",General,,,1500.0,1500.0,0,0
Flipper DeepSee Max,General,,,1800.0,1800.0,0,0
Kessil LED Aquarium Lighting A360 X Tuna Sun,General,,,8000.0,8000.0,0,0
Kessil Led Aquarium Lighting A360 X Tuna Blue,General,,,8500.0,8500.0,0,0
Waterfall Style Bio - Filter,General,,,600.0,600.0,0,0
Smart 1000w Calentador,General,,,1500.0,1500.0,0,0
Dymax Anti Ammonia Rock,General,,,500.0,500.0,0,0
Dosing Pump Mate Chihiros 2 Canales,General,,,3500.0,3500.0,0,0
Glass CO2 Difusser,General,,,800.0,800.0,0,0
Boyu D - 200,General,,,160.0,160.0,0,0
Glass Feeder,General,,,1000.0,1000.0,0,0
Aquarium Cooler Fan,General,,,600.0,600.0,0,0
Kamoer X1 PRO,General,,,4500.0,4500.0,0,0
Auto Dosing Pump DP - 4,General,,,1800.0,1800.0,0,0
Auto Dosing Pump DP - 3,General,,,1500.0,1500.0,0,0
Auto Dosing Pump DP - 2,General,,,1300.0,1300.0,0,0
THOR Smart LED Aquarium Light,General,,,3800.0,3800.0,0,0
Avidaqua Stringray Magnetic Frag Rack,General,,,1200.0,1200.0,0,0
Aquavid Traveler Trio,General,,,950.0,950.0,0,0
Aquavid Manta Ray Magnetic Frag Rack,General,,,1200.0,1200.0,0,0
Avidaqua WMNT Accessory,General,,,400.0,400.0,0,0
Avidaqua Traveler Mini,General,,,500.0,500.0,0,0
Avidaqua Sawfish Magnetic Frag Rack,General,,,860.0,860.0,0,0
Avidaqua Insight,General,,,4200.0,4200.0,0,0
Avidaqua MPO Quattro,General,,,1100.0,1100.0,0,0
Avidaqua MTO Magnetic Tubing Organizer,General,,,1100.0,1100.0,0,0
Avidaqua WMNT Wyze Cam Mount Kit,General,,,1050.0,1050.0,0,0
Aquavid Sawfish Accessory,General,,,350.0,350.0,0,0
Avidaqua ModMag Giga,General,,,760.0,760.0,0,0
Avidaqua Neaterheater,General,,,1300.0,1300.0,0,0
Avidaqua Mantarray Accessory,General,,,500.0,500.0,0,0
Avidaqua Stringray Nextlevel,General,,,910.0,910.0,0,0
Avidaqua Avidcam Accessory,General,,,390.0,390.0,0,0
Brick no1,General,,,30.0,30.0,0,0
Matrix a granel 250 ml,General,,,120.0,120.0,0,0
Fluval 407,General,,,5500.0,5500.0,0,0
HC series Aquarium Hester 300w,General,,,1300.0,1300.0,0,0
Aquarium Test Strips,General,,,190.0,190.0,0,0
Rollo de Repuesto RollerMat 1200,Mantis,Mantis,,450.0,450.0,0,0
Rollo de Repuesto RollerMat 600,Mantis,Mantis,,350.0,350.0,0,0
Magic Disease Treatment 120 ml,General,,,120.0,120.0,0,0
Algae Treatment,General,,,120.0,120.0,0,0
Ultra Freshpay Shrimps Pro 120 ml,General,,,180.0,180.0,0,0
Stop Ammo 1pz,General,,,40.0,40.0,0,0
Rotipods 250 ml,General,,,250.0,250.0,0,0
Fito Mix Color Mix 500 ml,General,,,160.0,160.0,0,0
Fito Mix Espirulina 500 ml,General,,,160.0,160.0,0,0
DISCUS VITAMINS 500 ml,General,,,300.0,300.0,0,0
BIO XD 500 ml,General,,,375.0,375.0,0,0
Aquarium Polisher 250 ml,General,,,175.0,175.0,0,0
Axolotl Conditioner 250 ml,General,,,300.0,300.0,0,0
Aquarium Cleaner 250 ml,General,,,175.0,175.0,0,0
"Pangea T5HO 24"" (60.96cm)",General,,854732004511,1400.0,1400.0,0,0
"Pangea T5HO 36"" (91.44cm)",General,,854732004535,1500.0,1500.0,0,0
"Pangea T5HO 48"" (1.22m)",General,,854732004559,1600.0,1600.0,0,0
PangeaCal 12oz (340.19) calcium with D3,General,,850039672842,400.0,150.0,0,0
PangeaCal 12oz (340.19) calcium without D3,General,,850039672835,360.0,135.0,0,0
Shrimp Guard 12mm,Aquapro,Aquapro,6975017510733,150.0,80.0,8.0,0.0
Musgo navidad ch,General,,,70.0,70.0,0,0
GUPPY,General,,,80.0,80.0,0,0
Roca dragon,General,,,149.0,149.0,0,0
Gambas,General,,,100.0,100.0,0,0
guppy $120,General,,,120.0,120.0,0,0
TROPIC MARIN  AGUA FIJI MESRWASSER 20 L,Tropic Marine,Tropic Marine,,955.0,735.0,0,0
TROPIC MARINE CLASSIC SEA SALT SACO 30kg,Tropic Marine,Tropic Marine,,2350.0,1802.0,0,0
Aspersor 2.5 L,General,,,230.0,2.0,0,0
Terrario saltarina med $330 10*10*20,General,,,350.0,330.0,0,0
Gusano de ceda,General,,,100.0,100.0,0,0
Terrario saltarina CH 12*8*8,General,,,250.0,250.0,0,0
Nano Combo Dome Lamp Fixture,General,,097612322361,900.0,900.0,3.0,0.0
Skimmer Tornado-200,Mantis,Mantis,,10000.0,10000.0,0,0
Skimmer Tornado-300,Mantis,Mantis,,13000.0,13000.0,0,0
Marine Fish Large 300g,Spectrum,Spectrum,817987021146,400.0,265.0,3.0,0.0
Algaemax Regular 150g,Spectrum,Spectrum,,300.0,200.0,4.0,0.0
Algaemax Medium 150g,Spectrum,Spectrum,,300.0,200.0,3.0,0.0
Algaemax Large 300g,Spectrum,Spectrum,,450.0,300.0,2.0,0.0
Eco-fresh dubia cockroach 150g,General,,0643854990068,200.0,200.0,6.0,0.0
Eco-fresh superworm 20g,General,,0847852012085,50.0,50.0,2.0,0.0
Eco-fresh black soldier fiy larvae 150g,General,,0643854990105,180.0,180.0,4.0,0.0
Eco-fresh silkworm 150g,General,,0643854990075,230.0,230.0,5.0,0.0
Eco-fresh superworm 150 g,General,,0643854990082,180.0,180.0,6.0,0.0
Alimento Tropical Gammarus 12g,Tropical,Tropical,,60.0,44.0,28.0,0.0
Alimento Tropical Gammarus 30g,Tropical,Tropical,,100.0,74.0,14.0,0.0
Cichlid Gran 550g,General,,,277.0,277.0,-5.0,0.0
Alimento Tropical Gammarus 120g,Tropical,Tropical,,350.0,280.0,6.0,0.0
Cichlid Omnivore Medium Pellet 360g,General,,,305.0,241.0,6.0,0.0
Bionautic Granulat 55g,General,,,64.0,64.0,-1.0,0.0
Crusta Sticks 70g,General,,,130.0,80.0,90.0,0.0
Supervit Flakes 50g,Tropical,Tropical,,90.0,66.0,12.0,0.0
Hanna Checker Cobre HR,Hanna,Hanna,,1950.0,1400.0,2.0,0.0
Calentador de Acuario Rubicon 500w,Mantis,Mantis,,1200.0,700.0,0.0,0.0
Calentador de Acuario Rubicon 300w,Mantis,Mantis,,750.0,479.0,1.0,0.0
Reactor de Calcio Mantis MR100S,Mantis,Mantis,,2900.0,1864.0,2.0,0.0
Rollo de Repuesto Rollermat 300,Mantis,Mantis,,350.0,178.0,1.0,0.0
RollerMat 300 Filtro de Rollo,Mantis,Mantis,,3990.0,2549.0,2.0,0.0
RollerMat 1200 Filtro de Rollo,Mantis,Mantis,,4500.0,3400.0,1.0,0.0
RollerMat 600 Filtro de Rollo,Mantis,Mantis,,3990.0,3000.0,1.0,0.0
Mantis Hydrus-35,Mantis,Mantis,,2900.0,1989.0,0.0,0.0
Mantis Hydrus-15,Mantis,Mantis,,1950.0,1390.0,1.0,0.0
Mantis Hydrus-25,Mantis,Mantis,,2300.0,1600.0,0.0,0.0
Reef Vane 60,Mantis,Mantis,,4500.0,3029.0,-2.0,0.0
Mantis Base para Skimmer S,Mantis,Mantis,,400.0,279.0,0.0,0.0
TOURBON-60,Mantis,Mantis,,1890.0,1500.0,0.0,0.0
TOURBON-100,Mantis,Mantis,,2300.0,1696.0,0.0,0.0
TOURBON 30,Mantis,Mantis,,1500.0,998.0,2.0,0.0
BM Calcetin 100 - 150 - 200 micras de  4in (copia),Bubble magus,Bubble magus,,150.0,90.0,0,0
Reptivite without D3,General,,0097612103588,380.0,380.0,0,0
3D Retractible Net Circular Large,Aquapro,Aquapro,6975017511082,250.0,90.0,3.0,0.0
Pinza recta Aquapro 45cm,Aquapro,Aquapro,6975017510344,300.0,120.0,-1.0,0.0
Pinza curva Aquapro 45cm,Aquapro,Aquapro,6975017510345,300.0,120.0,1.0,0.0
Pinza Curva Aquapro,Aquapro,Aquapro,6975017510337,250.0,150.0,4.0,0.0
Pinza Recta Aquapro,Aquapro,Aquapro,6975017510338,350.0,225.0,10.0,0.0
Drop Checker O,Aquapro,Aquapro,,200.0,120.0,4.0,0.0
Drop Checker U,Aquapro,Aquapro,6975017510214,200.0,120.0,1.0,0.0
Small CO2 diffuser,Aquapro,Aquapro,6975017510115,250.0,105.0,3.0,0.0
Manguera Co2 Negro,Aquapro,Aquapro,,25.0,5.0,120.0,0.0
Mini Feeder F2 Aluminium Alloy,Aquapro,Aquapro,6975017512249,500.0,240.0,5.0,0.0
Mini Feeder F1 Aluminium Alloy,Aquapro,Aquapro,6975017511600,350.0,170.0,4.0,0.0
Lily pipes skimmer 20mm  Week aqua,Week Aqua,Week Aqua,,1800.0,840.0,1.0,0.0
Valvula Check U,Week Aqua,Week Aqua,,100.0,45.0,9.0,0.0
Magnet Scrapper Azul Gde,Genérico,Genérico,,750.0,330.0,12.0,0.0
Magnet Scrapper Azul Ch,Genérico,Genérico,,450.0,195.0,7.0,0.0
DMP-5,Jecod,Jecod,,2150.0,1436.0,2.0,0.0
DMP-10,Jecod,Jecod,,2300.0,1512.0,1.0,0.0
Plata Sand 8k,ADA,ADA,,1200.0,794.0,2.0,0.0
Colorado Sand 8k,ADA,ADA,,1200.0,794.0,-4.0,0.0
Ficus quercifolia,General,,,150.0,150.0,0,0
Musgo navidad,General,,,120.0,120.0,0,0
Tropical Insect Menu Granules - Size S 135g,Tropical,Tropical,5900469640340,220.0,172.0,0.0,0.0
Tropical 3-Algae Flakes 200g,Tropical,Tropical,5900469771662,370.0,293.0,3.0,0.0
D-ALLIO PLUS Granulat 150g,Tropical,Tropical,5900469606247,200.0,147.0,7.0,0.0
Tropical Super Goldfish 150g,Tropical,Tropical,5900469643747,130.0,102.0,8.0,0.0
Tropical 3-Algae Flakes 50g,Tropical,Tropical,5900469771648,130.0,102.0,4.0,0.0
Tropical Soft Line America M 60g,Tropical,Tropical,5900469674239,145.0,114.0,7.0,0.0
Tropical Krill Gran 54g,Tropical,Tropical,5900469609439,160.0,126.0,7.0,0.0
Tropical Carnivore 300g,Tropical,Tropical,5900469607350,290.0,229.0,-2.0,0.0
Tropical PRO DEFENCE Size S 520g,Tropical,Tropical,5900469680261,650.0,514.0,1.0,0.0
Tropical Soft Line Monster Fish 320g,Tropical,Tropical,5900469677865,450.0,341.0,2.0,0.0
Tropical Soft Line Africa Herbivore Size M 130g,Tropical,Tropical,5900469675748,280.0,218.0,4.0,0.0
Weekend & Holiday Tropical 20g,Tropical,Tropical,5900469207116,55.0,41.0,17.0,0.0
veggie mag,General,,,550.0,550.0,0,0
co2 difusser in line 20mm Week aqua,Week Aqua,Week Aqua,,500.0,230.0,1.0,0.0
co2 difusser in line 12-16mm Week aqua,Week Aqua,Week Aqua,,500.0,230.0,11.0,0.0
co2 difusser in line 12mm Week aqua,Week Aqua,Week Aqua,,500.0,230.0,11.0,0.0
Valvula Check Week Aqua,Week Aqua,Week Aqua,,80.0,25.0,31.0,0.0
Conector Rápido para Tráquea - Modelo QP-0606-CV y QP-0606-L,Conectores para Tráquea,Conectores para Tráquea,,75.0,75.0,0,0
Valvula Solenoide 2 Salidas,Week Aqua,Week Aqua,,500.0,200.0,15.0,0.0
Lily pipe acero 9mm Week aqua,Week Aqua,Week Aqua,,1000.0,400.0,0.0,0.0
Shades Week Aqua S/M 400,Week Aqua,Week Aqua,,300.0,135.0,2.0,0.0
K1 1L Rojo,Genérico,Genérico,,100.0,20.0,0,0
Lampara Week Aqua T90 Pro,Week Aqua,Week Aqua,,3500.0,1900.0,1.0,0.0
Lampara Week Aqua A430 Pro,Week Aqua,Week Aqua,,6950.0,3850.0,2.0,0.0
Shades Week Aqua Z400,Week Aqua,Week Aqua,,500.0,250.0,3.0,0.0
Shades Week Aqua Z250,Week Aqua,Week Aqua,,400.0,216.0,6.0,0.0
Shades Week Aqua L1200,Week Aqua,Week Aqua,,850.0,420.0,3.0,0.0
Shades Week Aqua M900,Week Aqua,Week Aqua,,650.0,370.0,4.0,0.0
Shades Week Aqua L600,Week Aqua,Week Aqua,,500.0,250.0,4.0,0.0
Shades Week Aqua M1200,Week Aqua,Week Aqua,,850.0,420.0,5.0,0.0
Shades Week Aqua L900,Week Aqua,Week Aqua,,650.0,370.0,5.0,0.0
Shades Week Aqua M600,Week Aqua,Week Aqua,,500.0,250.0,6.0,0.0
Shades Week Aqua S/M 450,Week Aqua,Week Aqua,,400.0,216.0,3.0,0.0
Shades Week Aqua S/M 300,Week Aqua,Week Aqua,,250.0,135.0,4.0,0.0
M300 K Week aqua,Week Aqua,Week Aqua,,1800.0,800.0,-1.0,0.0
Herbivore Soft 65g,Tropical,Tropical,5900469116340,115.0,81.0,4.0,0.0
Tropical BiOREPT W 75g,Tropical,Tropical,5900469113646,80.0,62.0,6.0,0.0
Limpiador 15mm SGC-15,Sunny,Sunny,,300.0,215.0,1.0,0.0
Limpiador 10mm SGC-10,Sunny,Sunny,,270.0,192.0,1.0,0.0
Limpiador 5mm SGC-05,Sunny,Sunny,,150.0,104.0,1.0,0.0
Limpiador 3mm SGC-01,Sunny,Sunny,,135.0,96.0,1.0,0.0
Canister Sunny 1350 L/H SCF-1000,Sunny,Sunny,,1990.0,1422.0,2.0,0.0
Calentador Sunny 200w SGH-280,Sunny,Sunny,,140.0,82.0,1.0,0.0
Calentador Sunny 100w SGH-180,Sunny,Sunny,,120.0,73.0,0.0,0.0
Bomba de Subida SFP-700,Sunny,Sunny,,1100.0,783.0,-3.0,0.0
Bomba de Subida SFP-600,Sunny,Sunny,,970.0,690.0,-7.0,0.0
Bomba de Subida SFP-500,Sunny,Sunny,,540.0,386.0,-2.0,0.0
Bomba de Subida SFP-400,Sunny,Sunny,,365.0,259.0,-9.0,0.0
Bomba de Subida SFP-300,Sunny,Sunny,,260.0,183.0,1.0,0.0
Bomba de Subida SFP-200,Sunny,Sunny,,175.0,123.0,-4.0,0.0
Bomba de Subida SPH-2100,Sunny,Sunny,,390.0,279.0,3.0,0.0
Cabeza De Poder SPH-2000,Sunny,Sunny,,360.0,256.0,2.0,0.0
Bomba de Subida SPH-1500,Sunny,Sunny,,280.0,199.0,3.0,0.0
Cabeza de Poder SPH-1200,Sunny,Sunny,,220.0,156.0,3.0,0.0
Bomba de Subida SPH-800,Sunny,Sunny,,175.0,123.0,-1.0,0.0
Cabeza de Poder SPH-600,Sunny,Sunny,,185.0,131.0,5.0,0.0
Bomba de Subida SPH-400,Sunny,Sunny,,125.0,88.0,1.0,0.0
Bomba de Subida SPH-200,Sunny,Sunny,,110.0,79.0,2.0,0.0
Bomba de Subida SPH-150,Sunny,Sunny,,100.0,73.0,5.0,0.0
Filtro Rapido SPF-2100,Sunny,Sunny,,450.0,316.0,-2.0,0.0
Filtro Rapido SPF-2000,Sunny,Sunny,,430.0,307.0,-10.0,0.0
Filtro Interno SPF-1500,Sunny,Sunny,,315.0,224.0,2.0,0.0
Filtro Rapido SPF-1200,Sunny,Sunny,,295.0,210.0,-21.0,0.0
Filtro Rapido SPF-800,Sunny,Sunny,,250.0,182.0,-14.0,0.0
Filtro Rapido SPF-600,Sunny,Sunny,,200.0,144.0,4.0,0.0
Filtro Rapido SPF-400,Sunny,Sunny,,165.0,118.0,-1.0,0.0
Filtro Rapido SPF-200,Sunny,Sunny,,150.0,112.0,4.0,0.0
Filtro Rapido SPF-150,Sunny,Sunny,,150.0,110.0,5.0,0.0
New Life Spectrum Betta Pellets 70g,Spectrum,Spectrum,817987021320,150.0,107.0,12.0,0.0
Prodefence size M 110g,Tropical,Tropical,5900469680346,185.0,137.0,-4.0,0.0
Prodefence size M 440g,General,,5900469680360,400.0,400.0,2.0,0.0
Prodefence size M 440g,General,,5900469680360,400.0,400.0,16.0,0.0
TerraClay Brown,Tropical,Tropical,5900469820254,300.0,200.0,-19.0,0.0
Sanital con Ketapang 3.6k,Tropical,Tropical,5900469803370,800.0,576.0,5.0,0.0
Sanital con Ketapang 12g,Tropical,Tropical,5900469803332,55.0,38.0,6.0,0.0
Sanital con Aloe Vera 3.6k,Tropical,Tropical,5900469803271,800.0,576.0,3.0,0.0
Sanital con Aloe Vera 12g,Tropical,Tropical,5900469803233,55.0,53.0,9.0,0.0
Astacolor 100g,Tropical,Tropical,5900469773352,290.0,212.0,23.0,0.0
Astacolor 20g,Tropical,Tropical,5900469723338,95.0,71.0,4.0,0.0
Flower Horn Adult Pellet 380g,Tropical,Tropical,5900469643860,280.0,211.0,10.0,0.0
Spirulina Super Forte Flakes 200g,Tropical,Tropical,5900469772362,490.0,366.0,7.0,0.0
Malawi Flakes 200g,Tropical,Tropical,5900469772263,330.0,239.0,7.0,0.0
Tanganyika Flakes 200g,Tropical,Tropical,5900469772164,330.0,239.0,9.0,0.0
Cichlid Color Flakes XXL 250g,Tropical,Tropical,5900469771563,290.0,207.0,22.0,0.0
Cichlid Color Flakes XXL 50g,Tropical,Tropical,5900469771549,100.0,73.0,21.0,0.0
Supervit Flakes 200g,Tropical,Tropical,5900469771068,300.0,237.0,1.0,0.0
Supervit Flakes 20g,Tropical,Tropical,5900469771037,50.0,36.0,11.0,0.0
Astacolor 1kg,Tropical,Tropical,5900469723371,1850.0,1349.0,10.0,0.0
Pro Defence Size M 110g,Tropical,Tropical,5900469680339,190.0,137.0,-2.0,0.0
Pro Defence Size M 44g,Tropical,Tropical,5900469680339,95.0,68.0,2.0,0.0
Pro Defence Size S 52g,Tropical,Tropical,5900469680230,120.0,85.0,5.0,0.0
Soft Line America Size M 150g,Tropical,Tropical,5900469674246,295.0,222.0,-1.0,0.0
Soft Line America Size S 140g,Tropical,Tropical,5900469674147,295.0,222.0,9.0,0.0
Green Algae Waffers 113g,Tropical,Tropical,5900469664247,180.0,132.0,11.0,0.0
Flower Horn Young Pellet 380g,Tropical,Tropical,5900469653869,290.0,221.0,12.0,0.0
Flower Horn Young Pellet 95g,Tropical,Tropical,5900469653845,135.0,95.0,17.0,0.0
Flower Horn Adult Pellet 190g,Tropical,Tropical,5900469643853,165.0,125.0,17.0,0.0
Red Mico Colour Sticks 80g,Tropical,Tropical,5900469635544,170.0,128.0,5.0,0.0
Red Mico Colour Sticks 32g,Tropical,Tropical,5900469635537,90.0,64.0,5.0,0.0
Chlid & Arowana Sticks L 300g,Tropical,Tropical,5900469635360,250.0,188.0,3.0,0.0
Discus Gran Wild 440g,Tropical,Tropical,5900469616260,350.0,260.0,22.0,0.0
Discus Gran Wild 110g,Tropical,Tropical,5900469616246,150.0,111.0,22.0,0.0
Marine Power Probiotic Soft Granules S 60g,Tropical,Tropical,5900469612736,190.0,139.0,3.0,0.0
Red Parrot Granulant 400g,Tropical,Tropical,5900469607169,350.0,277.0,2.0,0.0
D-allio Plus Granulat 60g Con Ajo,Tropical,Tropical,5900469606230,95.0,73.0,18.0,0.0
Goldfish Colour Pellet 36g,Tropical,Tropical,5900469604731,55.0,41.0,19.0,0.0
Supervit Granulant 138g,Tropical,Tropical,5900469604144,150.0,109.0,50.0,0.0
garrafon locatario,General,,,35.0,35.0,0,0
Startsmart  Pond Perfect 4 en 1 5lts,General,,,650.0,650.0,0,0
Chemiclean Liquido 2oz,Boyd Enterprises,Boyd Enterprises,719958167147,750.0,539.0,1.0,0.0
Vitachem 16oz - Marine Formula,Boyd Enterprises,Boyd Enterprises,0719958167076,900.0,649.0,2.0,0.0
Chemipure Blue 5oz,Boyd Enterprises,Boyd Enterprises,0719958167529,350.0,229.0,3.0,0.0
P1200 Pro Week Aqua,Week Aqua,Week Aqua,,7300.0,4150.0,1.0,0.0
P900 Pro Week Aqua,Week Aqua,Week Aqua,,5900.0,3400.0,4.0,0.0
P600 Pro Week Aqua,Week Aqua,Week Aqua,,4500.0,2600.0,3.0,0.0
Z250 Pro Week Aqua Sea,Week Aqua,Week Aqua,,3500.0,2140.0,7.0,0.0
Lámpara con base para terrario,Genérico,Genérico,,600.0,275.0,6.0,0.0
Corcho,General,,,250.0,250.0,0,0
Pangea Halogen Heat Lamp 100w,Pangea,Pangea,,400.0,170.0,37.0,0.0
Discus gran D50 plus 440g,Tropical,Tropical,5900469616161,390.0,279.0,2.0,0.0
Discus gran D50 plus 110g,Tropical,Tropical,5900469616147,160.0,119.0,49.0,0.0
Superpig 6oz/170g,Repashy,Repashy,643854998101,380.0,320.0,2.0,0.0
Savory stew 3oz,General,,4385499800,260.0,145.0,0,0
Pineapple express 6oz/170g,Repashy,Repashy,643854999276,400.0,225.0,5.0,0.0
Grubs N fruit 6oz,Repashy,Repashy,643854903150,400.0,225.0,3.0,0.0
Special Grade 6.8kg,CaribSea,CaribSea,,700.0,400.0,9.0,0.0
Fiji Pink 6.8kg,CaribSea,CaribSea,,700.0,400.0,7.0,0.0
Phosphat-E 500ml,Brightwell aquatics,Brightwell aquatics,0810086011438,899.0,721.0,0.0,0.0
Reagente Trident 2 meses,Neptune System,Neptune System,,1200.0,849.0,1.0,0.0
Vortech MP10,General,,,7400.0,5900.0,-1.0,0.0
VastOcean Clip Alga Iman,vastocean,vastocean,,380.0,234.0,4.0,0.0
Test Nitrate,Aqua Forest,Aqua Forest,5902026738835,575.0,346.0,2.0,0.0
AF Bio Sand 1-2 mm 10kg,Aqua Forest,Aqua Forest,5902026738859,900.0,541.0,-1.0,0.0
Aquaforest Component 3 en 1 500ml,Aqua Forest,Aqua Forest,5902026735506,625.0,326.0,6.0,0.0
Aiptasia Shot 50ml,Aqua Forest,Aqua Forest,,435.0,262.0,3.0,0.0
AF Vege Strength 100g,Aqua Forest,Aqua Forest,5902026739474,325.0,195.0,-1.0,0.0
AF Tiny Fish Feed 120g,Aqua Forest,Aqua Forest,5902026739504,325.0,195.0,1.0,0.0
AF Protein Power 120g,Aqua Forest,Aqua Forest,5902026739511,325.0,195.0,4.0,0.0
AF Calanidae Clip 120g,Aqua Forest,Aqua Forest,5902026739665,760.0,460.0,5.0,0.0
